student_id,res_critical,res_participation,assignment,midterm,sec
6442419527,5,4.545454545,5,17.375,5
6442420027,5,5,5,13.25,5
6341319127,0,0.454545455,2.857142857,6.5,6
6441301927,5,5,5,13.125,6
6441302527,5,4.545454545,5,18,6
6441303127,3.75,3.636363636,3.571428571,10.1,6
6441307727,5,4.090909091,3.928571429,13.375,6
6441308327,5,5,5,14.25,6
6441310527,2.5,2.727272727,1.428571429,11.0625,6
6441318627,2.5,1.818181818,1.785714286,11.5625,6
6441319227,5,4.090909091,4.285714286,8.75,6
6441320827,5,5,5,10.625,6
6441321427,5,5,5,10.875,6
6441322027,5,5,5,10.5625,6
6441323727,2.5,5,2.857142857,9.4375,6
6441324327,5,5,4.642857143,10.875,6
6441326627,2.5,3.181818182,3.214285714,9.3125,6
6441327227,5,5,5,13.8125,6
6441328927,5,5,4.285714286,17,6
6441329527,2.5,2.727272727,2.5,9.75,6
6441330027,5,2.727272727,3.928571429,10.0625,6
6441331727,5,2.727272727,4.642857143,12.75,6
6441332327,2.5,4.090909091,1.785714286,6.6875,6
6441333027,5,3.636363636,5,8.0625,6
6441334627,2.5,3.181818182,2.142857143,11.5,6
6441335227,3.75,1.818181818,5,12.3125,6
6441336927,2.5,3.181818182,1.428571429,6.25,6
6441337527,5,4.545454545,5,15.625,6
6441338127,2.5,1.363636364,4.285714286,12.6875,6
6441339827,3.75,3.636363636,3.214285714,12.3125,6
6441340327,3.75,4.545454545,5,13.25,6
6441341027,5,4.090909091,3.928571429,17.4375,6
6441105227,5,5,5,22.25,7
6441112627,5,5,5,16.25,7
6441113227,5,4.090909091,5,18,7
6441119027,5,5,5,18.75,7
6441136727,5,5,5,16.375,7
6441146027,5,5,4.285714286,15.25,7
6441148227,5,5,5,19.125,7
6441150427,5,4.545454545,2.5,15.25,7
6441167127,5,5,5,15.5,7
6441184827,5,5,4.285714286,15.875,7
6441185427,5,5,5,18.9375,7
6441189027,2.5,4.545454545,5,17.25,7
6441202427,5,5,5,18.5,7
6441218527,5,4.545454545,5,14.25,7
6441219127,5,4.545454545,3.214285714,15,7
6441225927,5,5,5,17.8125,7
6441228827,5,5,5,20.25,7
6441231627,5,5,3.214285714,19,7
6441232227,5,4.090909091,5,17,7
6441240227,5,5,5,20.375,7
6441265027,5,5,5,16.5,7
6441268927,5,5,5,18.25,7
6441269527,5,4.545454545,4.642857143,21,7
6441273027,5,4.545454545,5,14.5,7
6441274627,5,5,5,19.125,7
6441278127,5,5,5,17.5,7
6441280327,5,5,5,16.75,7
6441281027,5,5,5,19.875,7
6441283227,5,5,5,17,7
6441001627,3.75,5,3.928571429,14.25,8
6441002227,5,5,5,16.625,8
6441003927,5,5,5,12.75,8
6441005127,5,5,3.928571429,16.5,8
6441007427,5,5,5,17,8
6441009727,2.5,4.545454545,3.571428571,13.375,8
6441010227,5,5,5,16,8
6441013127,5,5,5,20.625,8
6441015427,5,5,5,15.875,8
6441018327,5,5,5,17.625,8
6441020527,5,5,4.285714286,16.75,8
6441023427,5,5,3.928571429,18.75,8
6441027027,5,5,4.642857143,14.5,8
6441029227,5,5,5,17.25,8
6441031427,5,5,4.642857143,17.75,8
6441038927,5,4.545454545,5,15,8
6441043027,2.5,4.545454545,2.857142857,13.25,8
6442202627,5,5,5,17.375,8
6442203227,5,5,4.642857143,14.25,8
6442204927,5,4.545454545,5,18.25,8
6442205527,5,5,5,13.5,8
6442206127,5,4.090909091,5,14.375,8
6442207827,5,5,4.642857143,13,8
6442208427,5,4.545454545,4.642857143,15.5,8
6442209027,5,5,3.928571429,12.625,8
6442210627,5,4.545454545,4.642857143,13.625,8
6442212927,5,4.545454545,5,12,8
6442217027,5,4.545454545,5,14.375,8
6442220927,5,4.545454545,3.928571429,11.625,8
6341150327,5,4.090909091,3.928571429,15.25,9
6441104627,5,5,5,19.25,9
6441115527,5,5,5,16.875,9
6441126427,5,5,3.928571429,18.5,9
6441195727,3.75,5,4.285714286,18,9
6441201827,5,5,5,18.75,9
6441237427,5,4.545454545,5,14.625,9
6441243127,5,5,5,19.25,9
6441245427,5,4.545454545,5,16.375,9
6441257027,2.5,3.181818182,2.857142857,15,9
6441263727,0,0,0,0,9
6442001827,5,4.545454545,3.571428571,12.625,9
6442002427,5,4.545454545,4.642857143,8.75,9
6442003027,5,4.090909091,2.142857143,8.75,9
6442004727,5,4.545454545,5,8.125,9
6442006027,5,4.545454545,3.571428571,14.25,9
6442007627,3.75,4.090909091,4.285714286,8.375,9
6442009927,5,4.545454545,5,7.375,9
6442010427,5,4.090909091,2.5,12.25,9
6442011027,5,4.545454545,5,12.75,9
6442012727,5,4.090909091,5,19.125,9
6442013327,0,4.090909091,3.571428571,9.375,9
6442014027,3.75,4.090909091,3.571428571,10.5,9
6442015627,5,5,5,9.25,9
6442016227,5,4.545454545,3.571428571,12.375,9
6442017927,5,5,5,16.375,9
6442018527,5,4.090909091,4.285714286,13.375,9
6442019127,5,4.090909091,3.214285714,10.5,9
6442020727,5,4.090909091,3.571428571,17.875,9
6442021327,5,2.272727273,1.785714286,9.25,10
6442022027,0,3.181818182,1.428571429,9,10
6442024227,5,3.181818182,2.857142857,8,10
6442025927,5,5,4.285714286,11.25,10
6442026527,5,4.545454545,4.285714286,10.5,10
6442027127,5,3.636363636,2.857142857,8,10
6442028827,5,4.090909091,5,13.375,10
6442029427,2.5,4.545454545,3.571428571,10.5,10
6442030027,5,4.545454545,5,12.875,10
6442031627,3.75,4.545454545,5,10,10
6442032227,5,4.090909091,3.571428571,8.25,10
6442033927,5,5,4.642857143,20.75,10
6442034527,5,5,5,11.25,10
